unique_id,name,boro,geo_dist,projdesc,award,consttype,buildingid,building_address,city,zip_code,borough,latitude,longitude,community_board,community_council,bin,bbl,census_tract,nta,data_as_of,computed_region_efsh_h5xi,computed_region_f5dn_yrer,computed_region_yeji_bk3q,computed_region_92fq_4b7q,computed_region_sbqj_enih
55,"P.S. 55 - QUEENS",Q,28,"PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL",999.999999,CIP,Q055,"131-10 97 AVENUE",Queens,11225,QUEENS,40.694004,-73.816617,409,29,4200233,2147483647,154,QN0903,1900-05-23,24015,46,3,46,60
56,"NEWCOMERS HIGH SCHOOL - Q",Q,30,"RPZ VALVES",999.999999,CIP,Q450,"28-01 41ST AVENUE",Queens,11225,QUEENS,40.751356,-73.937445,401,26,4004874,2147483647,3301,QN0105,1900-05-23,16858,39,3,33,72
57,"JOHN ADAMS HS - QUEENS",Q,27,"ELECTRICAL WORK FOR A/C INITIATIVE",999.999999,CIP,Q480,"102-10 ROCKAWAY BOULEVARD",Queens,11225,QUEENS,40.679487,-73.836476,410,28,4202849,2147483647,864,QN1001,1900-05-23,24013,62,3,41,64
58,"P.S. 139 - QUEENS",Q,28,"FY16 RESO A SUPPLEMENTAL COOLING",999.999999,CIP,Q139,"93-06 63 DRIVE",Queens,11225,QUEENS,40.728140,-73.863582,406,30,4072457,2147483647,693,QN0601,1900-05-23,14785,40,3,28,70
59,"MNHT COMPR. NIGHT & DAY HS - M",M,2,"FACADE REMEDIATION / FLOOD ELIMINATION / PARAPETS / PATH OF TRAVEL FLOOD ELIMINATION / WINDOWS",999.999999,CIP,M661,"240 2ND AVENUE",Manhattan,11225,MANHATTAN,40.732716,-73.984665,106,2,1020416,1009210064,48,MN0602,1900-05-23,11724,71,4,50,7
60,"I.S. 22 - BRONX",X,9,"ELECTRICAL WORK FOR A/C INITIATIVE",999.999999,CIP,X022,"270 EAST 167 STREET",Bronx,11225,BRONX,40.833131,-73.914027,204,16,2002410,2024380050,175,BX0401,1900-05-23,10934,50,5,42,27
61,"E NY VOC HS OF TRANSIT TECH.-K",K,19,"EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS / WINDOWS",999.999999,CIP,K615,"1 WELLS STREET",Brooklyn,11225,BROOKLYN,40.678276,-73.875960,305,37,3327249,2147483647,1196,BK0505,1900-05-23,17215,45,2,37,47
62,"P.S. 236 - BROOKLYN",K,22,"ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT",999.999999,CIP,K236,"6302 AVENUE U",Brooklyn,11225,BROOKLYN,40.615998,-73.912989,318,46,3326821,2147483647,698,BK1802,1900-05-23,13825,5,2,8,38
63,"P.S. 078 - STATEN ISLAND",R,31,"EXTERIOR MASONRY / PARAPETS / ROOFS",999.999999,CIP,R014,"100 TOMPKINS AVENUE","Staten Island",11225,"STATEN IS",40.622293,-74.078425,501,49,5014176,2147483647,29,SI0102,1900-05-23,10691,4,1,13,74
64,"I.S. 54 - MANHATTAN",M,3,"PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL",999.999999,CIP,M054,"103 WEST 107 STREET",Manhattan,11225,MANHATTAN,40.800119,-73.962837,107,7,1055990,1018620011,193,MN0703,1900-05-23,12422,20,4,23,15
65,"I.S. 227 - QUEENS",Q,30,"PA SYSTEM REPLACEMENT",999.999999,CIP,Q227,"32-02 JUNCTION BOULEVARD",Queens,11225,QUEENS,40.758408,-73.874472,403,21,4034891,2147483647,353,QN0302,1900-05-23,14511,65,3,21,73
66,"I.S. 459 - BRONX",X,10,"ELECTRICAL WORK FOR A/C INITIATIVE",999.999999,CIP,X115,"120 EAST 184 STREET",Bronx,11225,BRONX,40.859752,-73.900161,205,14,2013899,2031720046,23703,BX0503,1900-05-23,11606,6,5,29,29
67,"P.S. 105 - BRONX",X,11,Addition,999.999999,CAP,X105,"725 BRADY AVENUE",Bronx,10462,BRONX,40.852398,-73.866617,211,13,2048794,2042880001,22404,BX1101,1900-05-23,11271,59,5,12,32
68,"RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HS -",R,31,"IPDVS CAMERA INSTALLATION",999.999999,CIP,R600,"290 ST MARKS PLACE","Staten Island",11225,"STATEN IS",40.642793,-74.078730,501,49,5000000,2147483647,9,SI0101,1900-05-23,10369,4,1,13,74
69,"P.S. 174 - QUEENS",Q,28,Addition,999.999999,CAP,Q174,"65-10 DIETERLE CRESCENT",Queens,11374,QUEENS,40.720924,-73.861350,406,30,4073904,2147483647,69702,QN0601,1900-05-23,14785,40,3,28,70
70,"P.S. 11 - MANHATTAN",M,2,"ACCESSIBILITY / EXTERIOR MASONRY / PARAPETS / ROOF REPLACEMENT",999.999999,CIP,M011,"320 WEST 21 STREET",Manhattan,11225,MANHATTAN,40.744349,-74.000253,104,3,1013260,1007440024,89,MN0401,1900-05-23,12074,12,4,10,6
71,"P.S. 190 - BROOKLYN",K,19,"STANDALONE GYM ANNEX",999.999999,CIP,K478,"590 SHEFIELD AVENUE",Brooklyn,11225,0,0.000000,0.000000,0,0,0,0,0,0,1900-05-23,0,0,0,0,0
72,"P.S. 188 - MANHATTAN",M,1,"LSP LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT",999.999999,CIP,M188,"442 EAST HOUSTON STREET",Manhattan,11225,MANHATTAN,40.719598,-73.977904,103,2,1004349,1003560100,20,MN0303,1900-05-23,11723,70,4,50,5
73,"P.S. 328 - BROOKLYN",K,19,"FY18 RESO A AUDITORIUM  UPGRADE",999.999999,CIP,K328,"330 ALABAMA AVENUE",Brooklyn,11225,BROOKLYN,40.668167,-73.897835,305,42,3084283,2147483647,1134,BK0502,1900-05-23,17214,45,2,25,47
74,"P.S. 182 - BRONX",X,8,"ELECTRICAL WORK FOR A/C INITIATIVE",999.999999,CIP,X182,"601 STICKBALL BOULEVARD",Bronx,11225,BRONX,40.818228,-73.856302,209,18,2021923,2035640001,16,BX0902,1900-05-23,11611,58,5,31,26
75,"P.S. 361 - MANHATTAN",M,1,"WATER INFILTRATION IN ELECTRICAL ROOM",999.999999,CIP,M061,"610 EAST 12 STREET",Manhattan,11225,MANHATTAN,40.727892,-73.978525,103,2,1079053,1003940012,28,MN0303,1900-05-23,11729,70,4,50,5
76,"NEW BRIDGES",K,17,"STANDALONE GYM ANNEX",999.999999,CIP,K474,"272 SCHENECTADY AVENUE",Brooklyn,11225,BROOKLYN,40.669670,-73.933830,308,35,3000000,2147483647,35301,BK0802,1900-05-23,17615,16,2,48,49
77,"P.S. 41 - QUEENS",Q,26,Addition,999.999999,CAP,Q041,"214-43 35 AVENUE",Queens,11361,QUEENS,40.769601,-73.770863,411,19,4135975,2147483647,1097,QN1102,1900-05-23,14196,26,3,20,69
78,"NEW DORP HS - STATEN ISLAND",R,31,"AIR CONDITIONING / COVID BMS REPLACEMENT / COVID VENTILATION / HOT WATER HEATER REPLACEMENT / REPLACE SINGLE STAGE STEAM ABSORBER",999.999999,CIP,R435,"465 NEW DORP LANE","Staten Island",11225,"STATEN IS",40.569393,-74.107737,502,50,5055367,2147483647,11204,SI9592,1900-05-23,10693,30,1,14,76
79,"P.S. 163 - MANHATTAN",M,3,"EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS / WINDOWS",999.999999,CIP,M163,"163 WEST 97 STREET",Manhattan,11225,MANHATTAN,40.794442,-73.969139,107,7,1055908,1018520099,185,MN0703,1900-05-23,12422,20,4,23,15
80,"P.S. 284 - BROOKLYN",K,23,"CHARTER MATCH BATHROOM UPGRADE",999.999999,CIP,K284,"213 OSBORN STREET",Brooklyn,11225,BROOKLYN,40.667377,-73.908214,316,41,3081460,2147483647,912,BK1602,1900-05-23,17614,55,2,17,46
81,"LOWER EAST SIDE PREP HS - M",M,1,"EXTERIOR MASONRY / PARAPETS / REINFORCING SUPPORT ELEMENTS / ROOFS",999.999999,CIP,M025,"145 STANTON STREET",Manhattan,11225,MANHATTAN,40.720581,-73.985645,103,1,1004323,1003540080,3001,MN0302,1900-05-23,11723,70,4,32,4
82,"P.S. @ 763 PRESIDENT STREET - BROOKLYN",K,15,Lease,999.999999,CAP,K347,"763 PRESIDENT STREET",Brooklyn,11235,BROOKLYN,40.674465,-73.977497,306,39,3020189,2147483647,157,BK0602,1900-05-23,17617,14,2,27,50
83,"P.S. 130 - QUEENS",Q,26,"DOMESTIC WATER HEATER REPLACEMENT / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL",999.999999,CIP,Q130,"200-01 42 AVENUE",Queens,11225,QUEENS,40.759517,-73.784029,411,19,4137034,2147483647,1463,QN1101,1900-05-23,14196,26,3,20,69
84,"P.S. @ 4302 4TH AVENUE - BROOKLYN",K,15,New,999.999999,CAP,K557,"4302 4TH AVENUE",Brooklyn,11232,BROOKLYN,40.650305,-74.008602,307,38,3000000,2147483647,82,BK0702,1900-05-23,18180,9,2,7,45
85,"LONGWOOD PREPARATORY ACADEMY",X,8,"FLOOD ELIMINATION",999.999999,CIP,X039,"965 LONGWOOD AVENUE",Bronx,11225,BRONX,40.817512,-73.898212,202,17,2005616,2027100001,87,BX0202,1900-05-23,10937,8,5,43,24
86,"P.S. 176 - QUEENS",Q,29,"EXTERIOR MASONRY / PARAPETS",999.999999,CIP,Q176,"120-45 235 STREET",Queens,11225,QUEENS,40.685492,-73.729982,413,27,4276382,2147483647,614,QN1304,1900-05-23,15311,63,3,6,63
87,"P.S. 22 - STATEN ISLAND",R,31,"EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS",999.999999,CIP,R022,"1860 FOREST AVENUE","Staten Island",11225,"STATEN IS",40.625369,-74.150970,501,49,5107239,2147483647,30302,SI0107,1900-05-23,10371,4,1,13,75
88,"P.S. 81 - QUEENS",Q,24,"FY21 RESO A CAFETERIA UPGRADE / PATH OF TRAVEL RESO A CAFETERIA UPGRADE",999.999999,CIP,Q848,"511 SENECA AVENUE",Queens,11225,QUEENS,40.705315,-73.911909,405,34,4081987,2147483647,545,QN0502,1900-05-23,15310,54,3,30,62
89,"FASHION INDUSTRIES VOC HS - M",M,2,"EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS",999.999999,CIP,M600,"225 WEST 24 STREET",Manhattan,11225,MANHATTAN,40.745156,-73.996074,104,3,1014174,1007740019,91,MN0401,1900-05-23,12074,12,4,10,6
90,"P.S. 61 - BRONX",X,12,"ELECTRICAL WORK FOR A/C INITIATIVE / LSP LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT",999.999999,CIP,X061,"1550 CROTONA PARK EAST",Bronx,11225,BRONX,40.836575,-73.892817,203,15,2009865,2029390045,153,BX0303,1900-05-23,11269,34,5,43,25
91,"P.S. 75 - BROOKLYN",K,32,"EXTERIOR MASONRY / FLOOD ELIMINATION / ROOF",999.999999,CIP,K075,"95 GROVE STREET",Brooklyn,11225,BROOKLYN,40.693313,-73.920666,304,37,3075879,2147483647,419,BK0402,1900-05-23,18181,42,2,30,53
92,"I.S. 151 - BRONX",X,7,"IPDVS CAMERA INSTALLATION",999.999999,CIP,X151,"250 EAST 156 STREET",Bronx,11225,BRONX,40.823033,-73.921238,204,16,2002458,2024430190,61,BX0401,1900-05-23,10929,50,5,43,27
